#At time x process y state arr w total z remain y wait k
At time 10 process 1 started arr 10 total 16 remain 16 wait 0
At time 13 process 1 stopped arr 10 total 16 remain 13 wait 0
At time 13 process 2 started arr 11 total 25 remain 25 wait 2
At time 16 process 2 stopped arr 11 total 25 remain 22 wait 2
At time 16 process 1 resumed arr 10 total 16 remain 13 wait 3
At time 19 process 1 stopped arr 10 total 16 remain 10 wait 3
At time 19 process 2 resumed arr 11 total 25 remain 22 wait 5
At time 22 process 2 stopped arr 11 total 25 remain 19 wait 5
At time 22 process 1 resumed arr 10 total 16 remain 10 wait 9
At time 25 process 1 stopped arr 10 total 16 remain 7 wait 9
At time 25 process 3 started arr 20 total 3 remain 3 wait 5
At time 28 process 3 finished arr 20  remain 0 wait 5 TA 8 WTA 2.67 
At time 28 process 2 resumed arr 11 total 25 remain 19 wait 14
At time 31 process 2 stopped arr 11 total 25 remain 16 wait 14
At time 31 process 1 resumed arr 10 total 16 remain 7 wait 21
At time 34 process 1 stopped arr 10 total 16 remain 4 wait 21
At time 34 process 4 started arr 30 total 3 remain 3 wait 4
At time 37 process 4 finished arr 30  remain 0 wait 4 TA 7 WTA 2.33 
At time 37 process 2 resumed arr 11 total 25 remain 16 wait 29
At time 40 process 2 stopped arr 11 total 25 remain 13 wait 29
At time 40 process 5 started arr 33 total 22 remain 22 wait 7
At time 43 process 5 stopped arr 33 total 22 remain 19 wait 7
At time 43 process 1 resumed arr 10 total 16 remain 4 wait 42
At time 46 process 1 stopped arr 10 total 16 remain 1 wait 42
At time 46 process 6 started arr 34 total 16 remain 16 wait 12
At time 49 process 6 stopped arr 34 total 16 remain 13 wait 12
At time 49 process 2 resumed arr 11 total 25 remain 13 wait 53
At time 52 process 2 stopped arr 11 total 25 remain 10 wait 53
At time 52 process 5 resumed arr 33 total 22 remain 19 wait 16
At time 55 process 5 stopped arr 33 total 22 remain 16 wait 16
At time 55 process 1 resumed arr 10 total 16 remain 1 wait 72
At time 56 process 1 finished arr 10  remain 0 wait 30 TA 46 WTA 2.88 
At time 56 process 6 resumed arr 34 total 16 remain 13 wait 19
At time 59 process 6 stopped arr 34 total 16 remain 10 wait 19
At time 59 process 2 resumed arr 11 total 25 remain 10 wait 84
At time 62 process 2 stopped arr 11 total 25 remain 7 wait 84
At time 62 process 5 resumed arr 33 total 22 remain 16 wait 32
At time 65 process 5 stopped arr 33 total 22 remain 13 wait 32
At time 65 process 6 resumed arr 34 total 16 remain 10 wait 32
At time 68 process 6 stopped arr 34 total 16 remain 7 wait 32
At time 68 process 2 resumed arr 11 total 25 remain 7 wait 121
At time 71 process 2 stopped arr 11 total 25 remain 4 wait 121
At time 71 process 5 resumed arr 33 total 22 remain 13 wait 54
At time 74 process 5 stopped arr 33 total 22 remain 10 wait 54
At time 74 process 6 resumed arr 34 total 16 remain 7 wait 51
At time 77 process 6 stopped arr 34 total 16 remain 4 wait 51
At time 77 process 2 resumed arr 11 total 25 remain 4 wait 164
At time 80 process 2 stopped arr 11 total 25 remain 1 wait 164
At time 80 process 5 resumed arr 33 total 22 remain 10 wait 82
At time 83 process 5 stopped arr 33 total 22 remain 7 wait 82
At time 83 process 6 resumed arr 34 total 16 remain 4 wait 76
At time 86 process 6 stopped arr 34 total 16 remain 1 wait 76
At time 86 process 2 resumed arr 11 total 25 remain 1 wait 213
At time 87 process 2 finished arr 11  remain 0 wait 51 TA 76 WTA 3.04 
At time 87 process 5 resumed arr 33 total 22 remain 7 wait 114
At time 90 process 5 stopped arr 33 total 22 remain 4 wait 114
At time 90 process 6 resumed arr 34 total 16 remain 1 wait 105
At time 91 process 6 finished arr 34  remain 0 wait 41 TA 57 WTA 3.56 
At time 91 process 5 resumed arr 33 total 22 remain 4 wait 147
At time 95 process 5 finished arr 33  remain 0 wait 40 TA 62 WTA 2.82 
